data:GDP,
2002-03-31:189432,4
2002-06-30:198065,
2002-09-30:200614,4
2002-12-31:222505,
2003-03-31:194477,3
2003-06-30:207393,5
2003-09-30:208549,9
2003-12-31:235509,3
2004-03-31:214214,5
2004-06-30:226021,4
2004-09-30:228880,1
2004-12-31:263945,7
2005-03-31:230022,3
2005-06-30:242495,7
2005-09-30:244632,1
2005-12-31:273317,5
2006-03-31:244842,6
2006-06-30:256706,6
2006-09-30:264446,9
2006-12-31:303827,7
2007-03-31:272991,7
2007-06-30:285836,6
2007-09-30:290706,2
2007-12-31:338070,1
2008-03-31:302245,2
2008-06-30:311315,
2008-09-30:314229,7
2008-12-31:358279,3
2009-03-31:321123,5
2009-06-30:330448,1
2009-09-30:337588,
2009-12-31:383048,4
2010-03-31:331667,7
2010-06-30:349665,1
2010-09-30:357076,5
2010-12-31:406888,4
2011-03-31:359721,3
2011-06-30:377671,4
2011-09-30:386964,4
2011-12-31:442466,8
2012-03-31:379701,2
2012-06-30:398393,5
2012-09-30:401718,6
2012-12-31:449611,5
2013-03-31:381790,9
2013-06-30:401989,
2013-09-30:407575,2
2013-12-31:465540,4
2014-03-31:399536,9
2014-06-30:418230,9
2014-09-30:425004,3
2014-12-31:477657,9
2015-03-31:415701,4
2015-06-30:434227,3
2015-09-30:439967,9
2015-12-31:510331,
2016-03-31:430165,1
2016-06-30:450116,2
2016-09-30:454810,4
2016-12-31:526019,9
2017-03-31:458461,
2017-06-30:478886,8
2017-09-30:491398,1
2017-12-31:560568,2
2018-03-31:487129,3
2018-06-30:507606,2
2018-09-30:525180,3
2018-12-31:595756,1
2019-03-31:520197,2
